"Corporation Management",Anchoring
"Corporation Management","Corporation Management"
"Corporation Management","Diplomatic Relations"
"Corporation Management","Empire Control"
"Corporation Management","Megacorp Management"
"Corporation Management",Sovereignty
"Corporation Management","Starbase Defense Management"
Drones,"Advanced Drone Interfacing"
Drones,"Amarr Drone Specialization"
Drones,"Caldari Drone Specialization"
Drones,"Combat Drone Operation"
Drones,"Drone Durability"
Drones,"Drone Interfacing"
Drones,"Drone Navigation"
Drones,"Drone Sharpshooting"
Drones,Drones
Drones,"Electronic Warfare Drone Interfacing"
Drones,"Fighter Bombers"
Drones,Fighters
Drones,"Gallente Drone Specialization"
Drones,"Heavy Drone Operation"
Drones,"Mining Drone Operation"
Drones,"Minmatar Drone Specialization"
Drones,"Repair Drone Operation"
Drones,"Salvage Drone Operation"
Drones,"Scout Drone Operation"
Drones,"Sentry Drone Interfacing"
Electronics,Cloaking
Electronics,"Cynosural Field Theory"
Electronics,"Electronic Warfare"
Electronics,Electronics
Electronics,"Electronics Upgrades"
Electronics,"Frequency Modulation"
Electronics,"Gravimetric Sensor Compensation"
Electronics,"Ladar Sensor Compensation"
Electronics,"Long Distance Jamming"
Electronics,"Long Range Targeting"
Electronics,"Magnetometric Sensor Compensation"
Electronics,Multitasking
Electronics,"Projected Electronic Counter Measures"
Electronics,"Propulsion Jamming"
Electronics,"Radar Sensor Compensation"
Electronics,"Sensor Linking"
Electronics,"Signal Dispersion"
Electronics,"Signal Suppression"
Electronics,"Signature Analysis"
Electronics,"Signature Focusing"
Electronics,Survey
Electronics,"Target Breaker Amplification"
Electronics,"Target Painting"
Electronics,Targeting
Electronics,"Turret Destabilization"
Electronics,"Weapon Disruption"
Engineering,"Capital Energy Emission Systems"
Engineering,"Capital Shield Emission Systems"
Engineering,"Capital Shield Operation"
Engineering,"EM Shield Compensation"
Engineering,"Energy Emission Systems"
Engineering,"Energy Grid Upgrades"
Engineering,"Energy Management"
Engineering,"Energy Pulse Weapons"
Engineering,"Energy Systems Operation"
Engineering,Engineering
Engineering,"Explosive Shield Compensation"
Engineering,"Kinetic Shield Compensation"
Engineering,"Shield Compensation"
Engineering,"Shield Emission Systems"
Engineering,"Shield Management"
Engineering,"Shield Operation"
Engineering,"Shield Upgrades"
Engineering,"Tactical Shield Manipulation"
Engineering,"Thermic Shield Compensation"
Gunnery,"Advanced Weapon Upgrades"
Gunnery,"Capital Energy Turret"
Gunnery,"Capital Hybrid Turret"
Gunnery,"Capital Projectile Turret"
Gunnery,"Controlled Bursts"
Gunnery,Gunnery
Gunnery,"Large Artillery Specialization"
Gunnery,"Large Autocannon Specialization"
Gunnery,"Large Beam Laser Specialization"
Gunnery,"Large Blaster Specialization"
Gunnery,"Large Energy Turret"
Gunnery,"Large Hybrid Turret"
Gunnery,"Large Projectile Turret"
Gunnery,"Large Pulse Laser Specialization"
Gunnery,"Large Railgun Specialization"
Gunnery,"Medium Artillery Specialization"
Gunnery,"Medium Autocannon Specialization"
Gunnery,"Medium Beam Laser Specialization"
Gunnery,"Medium Blaster Specialization"
Gunnery,"Medium Energy Turret"
Gunnery,"Medium Hybrid Turret"
Gunnery,"Medium Projectile Turret"
Gunnery,"Medium Pulse Laser Specialization"
Gunnery,"Medium Railgun Specialization"
Gunnery,"Motion Prediction"
Gunnery,"Rapid Firing"
Gunnery,Sharpshooter
Gunnery,"Small Artillery Specialization"
Gunnery,"Small Autocannon Specialization"
Gunnery,"Small Beam Laser Specialization"
Gunnery,"Small Blaster Specialization"
Gunnery,"Small Energy Turret"
Gunnery,"Small Hybrid Turret"
Gunnery,"Small Projectile Turret"
Gunnery,"Small Pulse Laser Specialization"
Gunnery,"Small Railgun Specialization"
Gunnery,"Surgical Strike"
Gunnery,"Tactical Weapon Reconfiguration"
Gunnery,"Trajectory Analysis"
Gunnery,"Weapon Upgrades"
Industry,"Advanced Mass Production"
Industry,"Arkonor Processing"
Industry,"Bistot Processing"
Industry,"Crokite Processing"
Industry,"Dark Ochre Processing"
Industry,"Deep Core Mining"
Industry,"Drug Manufacturing"
Industry,"Gas Cloud Harvesting"
Industry,"Gneiss Processing"
Industry,"Hedbergite Processing"
Industry,"Hemorphite Processing"
Industry,"Ice Harvesting"
Industry,"Ice Processing"
Industry,"Industrial Reconfiguration"
Industry,Industry
Industry,"Jaspet Processing"
Industry,"Kernite Processing"
Industry,"Mass Production"
Industry,"Mercoxit Processing"
Industry,Mining
Industry,"Mining Upgrades"
Industry,"Omber Processing"
Industry,"Plagioclase Processing"
Industry,"Production Efficiency"
Industry,"Pyroxeres Processing"
Industry,"Refinery Efficiency"
Industry,Refining
Industry,"Scordite Processing"
Industry,"Scrapmetal Processing"
Industry,"Spodumain Processing"
Industry,"Supply Chain Management"
Industry,"Veldspar Processing"
Leadership,"Armored Warfare"
Leadership,"Armored Warfare Specialist"
Leadership,"Fleet Command"
Leadership,"Information Warfare"
Leadership,"Information Warfare Specialist"
Leadership,Leadership
Leadership,"Mining Director"
Leadership,"Mining Foreman"
Leadership,"Siege Warfare"
Leadership,"Siege Warfare Specialist"
Leadership,"Skirmish Warfare"
Leadership,"Skirmish Warfare Specialist"
Leadership,"Warfare Link Specialist"
Leadership,"Wing Command"
Mechanics,"Armor Honeycombing"
Mechanics,"Armor Resistance Phasing"
Mechanics,"Armor Rigging"
Mechanics,"Astronautics Rigging"
Mechanics,"Battleship Construction"
Mechanics,"Capital Remote Armor Repair Systems"
Mechanics,"Capital Remote Hull Repair Systems"
Mechanics,"Capital Repair Systems"
Mechanics,"Capital Ship Construction"
Mechanics,"Cruiser Construction"
Mechanics,"Drones Rigging"
Mechanics,"Electronic Superiority Rigging"
Mechanics,"EM Armor Compensation"
Mechanics,"Energy Weapon Rigging"
Mechanics,"Explosive Armor Compensation"
Mechanics,"Frigate Construction"
Mechanics,"Hull Upgrades"
Mechanics,"Hybrid Weapon Rigging"
Mechanics,"Industrial Construction"
Mechanics,"Jury Rigging"
Mechanics,"Kinetic Armor Compensation"
Mechanics,"Launcher Rigging"
Mechanics,Mechanics
Mechanics,"Nanite Interfacing"
Mechanics,"Nanite Operation"
Mechanics,"Outpost Construction"
Mechanics,"Projectile Weapon Rigging"
Mechanics,"Remote Armor Repair Systems"
Mechanics,"Remote Hull Repair Systems"
Mechanics,"Repair Systems"
Mechanics,Salvaging
Mechanics,"Shield Rigging"
Mechanics,"Tactical Logistics Reconfiguration"
Mechanics,"Thermic Armor Compensation"
"Missile Launcher Operation","Auto-Targeting Missiles"
"Missile Launcher Operation","Bomb Deployment"
"Missile Launcher Operation","Citadel Cruise Missiles"
"Missile Launcher Operation","Citadel Torpedoes"
"Missile Launcher Operation","Cruise Missile Specialization"
"Missile Launcher Operation","Cruise Missiles"
"Missile Launcher Operation","Defender Missiles"
"Missile Launcher Operation","Guided Missile Precision"
"Missile Launcher Operation","Heavy Assault Missile Specialization"
"Missile Launcher Operation","Heavy Assault Missiles"
"Missile Launcher Operation","Heavy Missile Specialization"
"Missile Launcher Operation","Heavy Missiles"
"Missile Launcher Operation","Light Missile Specialization"
"Missile Launcher Operation","Light Missiles"
"Missile Launcher Operation","Missile Bombardment"
"Missile Launcher Operation","Missile Launcher Operation"
"Missile Launcher Operation","Missile Projection"
"Missile Launcher Operation","Rapid Launch"
"Missile Launcher Operation","Rocket Specialization"
"Missile Launcher Operation",Rockets
"Missile Launcher Operation","Target Navigation Prediction"
"Missile Launcher Operation","Torpedo Specialization"
"Missile Launcher Operation",Torpedoes
"Missile Launcher Operation","Warhead Upgrades"
Navigation,"Acceleration Control"
Navigation,Afterburner
Navigation,"Evasive Maneuvering"
Navigation,"Fuel Conservation"
Navigation,"High Speed Maneuvering"
Navigation,"Jump Drive Calibration"
Navigation,"Jump Drive Operation"
Navigation,"Jump Fuel Conservation"
Navigation,"Micro Jump Drive Operation"
Navigation,Navigation
Navigation,"Warp Drive Operation"
"Planet Management","Advanced Planetology"
"Planet Management","Command Center Upgrades"
"Planet Management","Interplanetary Consolidation"
"Planet Management",Planetology
"Planet Management","Remote Sensing"
Science,"Advanced Laboratory Operation"
Science,"Amarr Encryption Methods"
Science,"Amarrian Starship Engineering"
Science,Archaeology
Science,Astrogeology
Science,"Astrometric Acquisition"
Science,"Astrometric Pinpointing"
Science,"Astrometric Rangefinding"
Science,Astrometrics
Science,"Astronautic Engineering"
Science,Biology
Science,"Caldari Encryption Methods"
Science,"Caldari Starship Engineering"
